"Counting Station",801,802,803,804,805,806,807,808,809,Total
S0801,431,314,1022,38,95,1376,35,982,414,4707 
S0901,535,486,1285,33,66,496,77,992,813,4783 
S1001,666,594,1869,33,66,554,60,1110,1264,6216 
S1101,449,376,1108,26,61,341,32,816,1434,4643 
S1201,194,414,574,16,36,371,22,3235,707,5569 
S1301,176,217,410,14,24,94,10,177,298,1420 
S1302,60,77,122,2,5,38,3,86,88,481 
S1303,202,191,467,23,20,432,22,532,266,2155 
S1401,477,542,993,35,62,340,26,787,854,4116 
S1501,469,420,1043,23,44,310,37,924,1583,4853 
S1601,301,352,901,14,37,258,22,1023,725,3633 
S1701,486,370,822,31,30,441,26,977,698,3881 
S1801,287,302,774,22,33,1591,27,1907,411,5354 
S1901,383,367,911,33,52,503,42,919,677,3887 
S1902,504,543,1332,30,59,419,24,967,818,4696 
S2001,535,456,1247,38,58,736,32,876,576,4554 
S2101,521,562,1373,41,75,762,40,1246,676,5296 
S2201,103,144,249,11,13,140,9,255,399,1323 
S2202,620,523,1503,41,72,574,42,1351,782,5508 
S2301,195,257,469,15,29,324,28,504,293,2114 
S2302,309,335,810,17,27,489,29,678,398,3092 
S2401,329,407,523,19,39,381,70,628,418,2814 
S2402,263,325,622,21,24,239,27,575,336,2432 
S2501,370,322,780,24,46,357,30,810,1081,3820 
S2601,113,89,291,9,22,70,12,224,131,961 
S2602,265,293,664,43,27,323,51,572,1082,3320 
S2701,674,686,1247,55,87,834,69,1188,1414,6254 
S2801,396,384,1043,30,32,381,28,1007,587,3888 
S2901,385,348,1095,28,53,461,37,1070,1279,4756 
T0101,38,50,106,13,10,46,10,195,324,792 
T0104,54,41,101,12,15,97,5,65,158,548 
T0107,118,86,303,14,35,143,14,235,379,1327 
T0109,45,31,83,8,22,49,8,51,132,429 
T0201,358,319,941,30,47,1536,54,648,391,4324 
T0301,487,398,1429,62,81,1101,46,977,622,5203 
T0401,516,548,1069,25,108,302,30,518,988,4104 
T0501,509,315,1474,57,84,474,44,917,1513,5387 
T0601,297,277,588,18,107,87,4,277,308,1963 
T0701,141,171,294,13,14,184,14,476,582,1889 
T0801,109,82,285,8,37,72,6,187,405,1191 
T0901,182,136,367,23,22,134,15,300,471,1650 
T0902,90,74,253,8,15,60,10,178,205,893 
T1001,109,72,235,10,7,61,7,141,344,986 
T1002,138,86,268,10,16,77,15,205,456,1271 
N0101,438,280,838,21,44,231,41,462,736,3091 
N0201,185,163,338,13,28,146,21,227,295,1416 
N0202,259,206,474,19,30,112,19,325,302,1746 
N0301,847,498,1504,45,85,519,83,832,1082,5495 
N0401,873,494,1622,50,100,473,106,1008,1525,6251 
N0501,733,422,1579,45,117,482,288,993,1203,5862 
N0601,386,167,789,19,36,184,53,488,772,2894 
N0602,457,233,1030,30,61,257,93,679,1394,4234 
N0701,649,415,1343,43,60,850,117,942,936,5355 
N0801,341,236,713,22,41,151,37,425,557,2523 
N0802,220,166,427,11,24,117,30,286,327,1608 
N0901,542,310,929,30,76,440,82,685,1590,4684 
N1001,372,302,862,30,48,651,53,613,931,3862 
N1101,161,158,281,6,17,95,18,190,235,1161 
