"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Total
Q2602,2458,322,7,263,308,488,707,97,126,875,4,220,161,377,0,20,23,605,361,0,265,158,7845
R0101,231,653,7,201,359,509,562,145,179,618,12,265,126,233,5,13,24,424,323,1,262,220,5372
R0102,77,96,1,49,64,144,98,29,42,111,1,80,41,49,1,2,0,85,83,0,80,29,1162
R0201,166,211,6,209,354,322,326,43,115,447,56,148,228,137,6,20,36,383,235,3,601,144,4196
R0301,145,374,3,240,440,458,506,35,134,1075,151,147,413,168,9,24,74,547,406,4,176,158,5687
R0401,328,542,4,247,345,838,862,280,207,501,12,333,148,285,2,22,22,599,338,3,564,155,6637
R0501,255,433,7,221,341,680,746,217,163,395,3,259,144,251,3,11,17,494,307,1,836,161,5945
R0601,138,223,4,139,197,310,312,51,122,271,6,186,111,142,5,12,23,301,193,1,163,104,3014
R0602,108,213,6,113,147,271,296,79,73,327,5,200,82,84,2,8,10,198,142,3,193,123,2683
R0701,161,288,7,219,399,424,385,32,406,414,15,124,382,280,9,12,39,386,322,4,968,176,5452
R0801,161,421,6,217,438,473,466,52,595,393,18,111,354,364,9,22,28,488,358,3,1049,177,6203
R0901,188,296,5,244,379,370,447,45,786,506,31,142,379,415,15,19,31,440,351,5,757,192,6043
R1001,231,938,9,236,435,484,439,67,152,477,35,179,255,215,8,38,41,465,304,3,843,199,6053
R1101,143,328,4,156,234,243,228,25,86,229,8,86,513,108,6,9,28,240,186,3,177,96,3136
R1201,289,449,8,314,509,718,630,80,241,556,41,291,386,596,3,20,22,527,418,4,752,210,7064
R1301,105,175,2,96,128,209,205,30,75,136,3,72,68,96,4,9,11,191,145,1,206,71,2038
R1302,169,430,5,195,361,430,432,39,139,320,11,140,255,159,3,20,34,432,266,4,616,181,4641
R1401,166,220,7,229,319,332,370,40,109,442,13,118,321,114,3,21,15,355,324,2,829,139,4488
R1501,245,320,2,121,205,379,371,98,118,362,7,280,104,190,1,8,10,295,204,0,450,114,3884
R1601,285,620,14,270,435,586,592,84,197,455,25,268,318,246,7,20,35,528,394,6,999,228,6612
R1602,67,139,2,47,68,139,148,44,43,186,5,102,35,53,1,3,6,93,62,1,155,75,1474
R1701,189,258,5,225,363,402,362,25,106,304,77,127,300,218,4,10,23,370,306,3,868,106,4651
R1801,293,273,8,228,386,437,373,38,170,489,26,172,344,777,10,2,19,374,325,2,541,163,5450
R1901,226,329,5,202,354,478,524,48,178,1942,10,124,337,393,1,14,23,379,361,3,140,78,6149
R1902,75,53,2,56,76,96,106,16,30,156,14,47,45,51,0,3,5,104,68,0,60,33,1096
R2001,221,317,10,166,252,429,436,70,171,594,5,190,179,223,1,14,26,309,294,2,523,105,4537
R2002,18,37,1,17,27,50,55,18,18,107,11,52,9,13,0,0,1,49,27,1,53,30,594
R2101,212,441,10,196,318,488,789,115,142,935,17,269,129,192,2,20,30,435,239,1,252,153,5385
R2201,180,327,4,154,273,541,537,194,137,664,29,356,132,185,0,10,42,428,229,0,457,176,5055
R2301,39,86,0,24,71,136,81,30,30,132,8,91,34,46,0,3,1,60,48,1,121,55,1097
R2302,135,298,8,84,134,380,373,155,112,421,3,292,84,145,1,10,12,205,123,0,298,147,3420
R2401,192,442,20,253,412,1022,594,134,211,1815,9,330,204,240,3,22,24,527,646,2,277,148,7527
R2501,250,521,11,266,476,1009,680,111,222,1820,7,306,236,262,6,33,23,583,539,3,207,220,7791
R2601,262,441,18,222,357,846,704,243,212,769,5,464,215,285,5,17,27,550,317,1,352,234,6546
R2801,245,807,24,307,473,855,813,193,273,805,14,473,302,330,7,22,37,739,554,1,1178,242,8694
R2901,313,698,13,406,584,1003,948,162,291,1493,17,495,392,374,8,17,55,952,721,1,547,256,9746
R3001,129,344,9,171,249,425,451,66,122,786,6,164,212,135,1,22,24,414,301,1,304,89,4425
R3002,102,233,9,98,139,317,301,77,98,358,3,157,76,117,3,9,17,220,165,0,127,109,2735
R3101,233,541,15,334,533,875,693,70,193,1490,8,187,328,238,4,14,30,731,558,2,197,262,7536
R3201,142,563,9,185,364,522,392,39,124,558,2,115,567,156,4,20,21,419,306,1,162,201,4872
R3202,105,315,2,131,262,332,321,49,121,384,5,105,377,123,2,8,15,330,190,1,120,118,3416
R3301,201,496,4,255,404,829,757,126,247,1450,12,337,138,310,1,17,19,586,319,0,198,157,6863
R3401,209,462,10,293,412,699,598,64,222,1297,17,295,182,238,5,23,26,454,413,1,287,116,6323
R3402,41,77,1,43,81,116,98,10,29,376,2,28,148,54,3,9,6,87,90,1,50,21,1371
R3501,228,396,11,283,379,685,696,120,239,464,37,246,173,293,5,23,26,544,295,1,964,212,6320
R3601,216,475,6,154,274,558,525,122,164,825,6,268,107,220,1,12,17,398,225,0,224,121,4918
R3602,39,47,3,49,68,57,84,6,24,483,5,21,59,37,1,7,9,82,64,0,36,33,1214
R3701,211,466,12,282,395,814,763,146,210,1085,55,256,193,231,6,20,22,461,388,2,622,154,6794
R3801,136,229,8,233,393,564,456,29,124,394,22,113,222,133,5,18,12,481,369,1,946,173,5061
LC005,6,3,1,1,4,8,4,2,3,3,0,2,5,2,0,2,0,3,0,0,4,4,57
