"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
S0801,186,709,4,8,376,4,333,88,48,241,235,247,59,1392,82,451,28,8,36,442,4977
S0901,135,976,8,5,406,3,1342,192,55,203,238,210,53,199,96,529,20,11,24,488,5193
S1001,145,1889,2,4,606,5,457,200,82,200,239,265,101,317,73,1404,19,7,24,573,6612
S1101,127,651,6,7,392,1,301,119,33,289,224,207,75,177,117,1816,7,4,12,517,5082
S1201,1552,238,8,5,492,6,389,382,66,279,213,245,95,259,119,811,17,8,26,500,5710
S1301,33,162,0,8,91,0,304,87,41,260,69,71,12,73,94,324,6,2,12,219,1868
S1302,19,51,0,2,12,2,101,28,12,81,31,32,2,34,33,92,3,3,2,58,598
S1303,72,139,1,6,221,1,163,117,33,164,143,134,42,354,76,299,8,5,6,298,2282
S1401,110,385,4,13,360,2,433,137,83,369,219,260,69,192,250,1103,12,7,27,563,4598
S1501,132,319,1,5,349,4,414,353,32,482,252,237,51,166,179,1778,12,10,25,626,5427
S1601,250,431,8,9,360,5,432,183,64,412,209,217,66,180,150,911,18,6,29,576,4516
S1701,184,294,3,4,310,5,338,194,54,317,260,230,86,307,182,845,15,13,23,517,4181
S1801,1062,181,1,4,444,8,249,145,55,250,233,217,69,1634,106,401,20,4,19,542,5644
S1901,115,268,5,10,412,2,269,296,83,292,233,260,115,482,90,594,28,9,12,634,4209
S1902,146,491,7,13,415,2,810,246,110,719,226,275,106,374,213,721,31,4,17,755,5681
S2001,125,425,5,5,337,0,600,172,58,697,234,265,85,1236,227,398,50,15,22,651,5607
S2101,202,380,4,9,543,5,544,201,95,508,287,348,106,850,199,570,97,17,23,905,5893
S2201,30,65,2,1,117,0,143,203,17,115,60,60,14,133,34,264,75,7,3,164,1507
S2202,219,387,4,6,535,2,724,216,43,884,265,318,90,730,270,489,450,11,24,849,6516
S2301,73,147,3,2,244,1,393,105,41,155,113,117,40,216,53,278,41,0,9,226,2257
S2302,122,388,3,5,278,0,413,150,34,202,175,126,54,382,105,408,39,5,23,406,3318
S2401,59,151,4,2,241,2,1126,92,48,151,167,174,42,181,64,322,32,4,9,293,3164
S2402,76,173,3,7,240,3,651,64,22,214,117,119,32,144,85,319,25,1,9,368,2672
S2501,148,236,2,4,300,2,381,105,33,243,216,206,60,227,137,1317,36,6,31,407,4097
S2601,46,68,3,2,135,0,171,45,6,192,50,57,23,63,39,125,7,4,2,153,1191
S2602,74,139,3,7,396,2,169,139,48,133,162,155,115,200,68,1264,16,5,18,411,3524
S2701,135,475,7,4,499,4,372,359,56,340,266,240,103,682,124,1509,28,8,20,677,5908
S2801,136,366,3,2,415,1,396,178,51,349,200,235,104,321,130,616,35,3,20,619,4180
S2901,140,358,1,3,409,1,312,201,79,303,203,227,374,312,109,1394,33,2,9,679,5149
T0101,75,42,3,1,32,1,40,48,407,23,27,34,10,33,13,18,3,1,5,61,877
T0104,11,32,0,2,33,1,49,31,145,29,35,21,5,99,16,27,2,1,2,76,617
T0107,24,40,1,1,98,2,116,29,428,105,176,60,20,120,17,10,7,3,12,193,1462
T0109,7,20,1,0,22,2,133,21,85,25,40,7,5,34,11,7,1,1,0,66,488
T0201,68,272,6,10,480,3,273,139,46,202,210,169,79,1533,91,360,8,2,22,597,4570
T0301,113,354,11,2,758,7,283,104,98,274,337,203,104,1067,90,609,23,6,14,1066,5523
T0401,60,309,4,10,218,3,1071,272,123,750,187,181,52,235,131,628,13,12,16,626,4901
T0501,106,302,7,5,506,10,657,210,73,615,252,264,111,403,198,1171,13,10,15,1001,5929
T0601,26,240,2,1,99,0,377,146,50,396,142,104,20,55,108,330,4,4,8,362,2474
T0701,80,90,6,1,109,4,98,130,761,99,68,46,27,130,38,43,10,1,8,306,2055
T0801,12,55,2,2,66,4,71,56,392,79,65,57,7,72,25,23,8,1,2,327,1326
T0901,34,76,2,5,200,184,69,32,8,95,88,68,27,75,32,577,2,4,10,256,1844
T0902,16,57,3,0,105,90,59,31,6,91,51,35,9,21,26,222,3,1,6,182,1014
T1001,16,45,0,3,114,77,51,21,9,92,40,30,8,33,32,385,3,3,8,148,1118
T1002,19,61,0,0,120,82,61,14,7,93,60,54,12,33,30,555,5,4,7,169,1386
LC004,3,7,0,0,1,0,7,4,5,3,1,3,0,5,3,6,2,0,0,6,56
